"","DSSd00_1","DSSd00_2","DSSd00_3","DSSd07_1","DSSd07_2","DSSd07_3"
"Arhgef17",23,18,41,34,25,18
"Arhgef18",59,51,56,37,49,33
"Arhgef19",32,42,36,25,32,22
"Arhgef2",60,46,52,54,47,39
"Arhgef25",14,14,14,13,15,5
"Arhgef26",35,21,27,20,13,20
"Arhgef28",54,92,66,47,67,42
"Arhgef3",30,31,27,35,29,36
"Arhgef37",8,11,7,7,9,2
"Arhgef38",18,10,11,13,18,14
"Arhgef39",3,5,8,6,10,6
"Arhgef40",23,17,19,21,17,11
"Arhgef5",91,91,81,120,108,103
"Arhgef7",35,39,34,51,50,47
"Arid1a",124,109,116,95,79,109
"Arid1b",69,78,87,50,55,62
"Arid2",27,40,32,28,38,43
"Arid3a",4,10,7,9,10,7
"Arid4a",11,12,12,28,15,20
"Arid4b",14,20,19,21,24,28
"Arid5a",7,4,8,15,16,4
"Arid5b",21,23,24,40,35,30
"Arih1",67,60,65,73,70,80
"Arih2",28,21,17,29,26,14
"Arl1",53,38,40,65,78,83
"Arl10",7,4,10,8,6,4
"Arl13b",6,8,0,9,8,5
"Arl14",6,7,7,9,8,9
"Arl14ep",4,6,7,3,9,9
"Arl15",5,7,5,9,6,8
"Arl2",23,20,22,11,18,13
"Arl2bp",60,60,64,43,69,66
"Arl3",14,10,6,6,7,7
